#complex,groundtruth
#2-variable linear MBA expression
-x-1,~x
4*(y^~(~x|(y^z)))+1*(y^~(x|(y^z)))-1*((x&y)^~(x^(~y|z)))-4*~(x|(~y|z))-2*~(~x|(y|z))-3*~(~x|(~y|z))+1*(~x&(~y&z))-3*(~x&(y&z))+1*(x&(~y&z)),1*(~(x^y)|(x^z))
3*(y^(~x&(~y|z)))+2*y+5*(z^~(x|(~y&z)))-2*~(x&(~y|z))-6*~(x|(y|z))-8*~(x|(~y|z))-3*~(~x|(~y|z))-6*(~x&(~y&z))-10*(x&(y&z)),5*(x&(~y&z))
7*(x|~y)-2*~y+1*((x|~y)&~(x^(y^z)))-1*~(x|(~y|z))-6*~(~x|(y|z))-8*~(~x|(~y|z))-5*(~x&(~y&z))-7*(x&(~y&z))-8*(x&(y&z)),6*~(x|(y|z))-1*~(x^(~y|z))
5*(y^(x&(y|z)))+1*(~x&(y^z))+2*(y|z)-1*(z^(x&~y))-8*~(x|(~y|z))+1*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(~y&z))-1*(x&(y&z)),6*(~x&(y&z))+7*(x&(~y&z))
7*(y^(x|z))-5*(y^(x&(y^z)))+2*(y|~(x|~z))-4*~(x|(~y|z))-7*~(~x|(y|z))-2*~(~x|(~y|z))-9*(~x&(~y&z))+3*(~x&(y&z))-2*(x&(~y&z)),-3*(x&(y&z))
-1*(y|(x^z))+1*(z^~(x&(y&z)))-7*~(x|(y|z))-6*~(x|(~y|z))-5*~(~x|(y|z))-5*~(~x|(~y|z))-5*(~x&(~y&z))-5*(~x&(y&z))-1*(x&(~y&z)),-1*(~x|(~y&z))-5*~(x&z)
5*((x|y)&(x^(y^z)))-3*(x&(~y|z))+2*(y&~z)-6*~(x|(~y|z))-2*~(~x|(y|z))-2*~(~x|(~y|z))+1*(~x&(~y&z))+4*(x&(~y&z))-1*(x&(y&z)),1*(z^~(x|~y))
7*((x&z)|(y&~z))+1*(x|~z)-1*(y^(~x&(y|z)))-1*~(x|(y|z))-1*~(~x|(y|z))-18*~(~x|(~y|z))+1*(~x&(~y&z))-19*(x&(~y&z))-7*(x&(y&z)),-11*(x&(y^z))+8*~(x|(~y|z))
7*(x^(y^z))+1*(z^(x|(y|z)))-2*((y&z)^~(~x&(y^z)))+2*~(x|(y|z))-9*~(x|(~y|z))-7*~(~x|(y|z))-8*(~x&(~y&z))+2*(x&(~y&z))-8*(x&(y&z)),-1*((x&y)|(x^(y^z)))
7*(x&y)+5*(z^~(~x|(~y&z)))+1*(y|~(x|~z))-1*~(x|(~y|z))-13*~(~x|(~y|z))-6*(~x&(~y&z))-6*(~x&(y&z))-5*(x&(~y&z))-8*(x&(y&z)),5*~(~x|(y|z))
4*(y|~(x^z))-5*~(x^(y&z))+3*(y|~(x|~z))-6*~(x|(y|z))-9*~(x|(~y|z))-14*~(~x|(~y|z))+2*(~x&(~y&z))-4*(x&(~y&z))-9*(x&(y&z)),-7*(y|~(x|z))+14*(~x&(y&z))
11*(z^~(~x&(y|z)))-2*((x|y)&(y^z))+2*(y|(x&~z))-13*~(~x|(y|z))-11*~(~x|(~y|z))-11*(~x&(~y&z))-13*(~x&(y&z))+2*(x&(~y&z))-2*(x&(y&z)),11*~(x|(y|z))
-11*(~(x|~y)|(x^(y^z)))-3*(~(x|y)|~(y^z))-2*~(~x&(y^z))+5*~(x|(y|z))+11*~(x|(~y|z))+14*(~x&(~y&z))+16*(~x&(y&z))+2*(x&(~y&z))+16*(x&(y&z)),-16*~(~x|(y|z))-2*~(~x|(~y|z))
1*(y^~(x&~z))-5*((x^y)|(x^z))-1*((x&y)|(x^(y^z)))-1*~(x|(y|z))+6*~(x|(~y|z))+6*~(~x|(y|z))+5*(~x&(~y&z))+4*(x&(~y&z))+1*(x&(y&z)),-5*~(~x|(~y|z))-5*(~x&(y&z))
2*~(x|z)+1*(z|~(x^y))-7*~(x&(~y|z))+4*~(x|(y|z))+6*~(~x|(~y|z))+6*(~x&(~y&z))+6*(~x&(y&z))-1*(x&(~y&z))-1*(x&(y&z)),-5*~(x|(~y|z))
4*~(~x&(~y&z))-6*(z^~(x&(y|z)))-5*(x&(y|z))+2*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+1*~(~x|(~y|z))-4*(~x&(y&z))+7*(x&(~y&z)),-7*(x&(y&z))
3*((x^y)|(x^z))+11*(x^(y&z))+7*(z^~(x&~y))-11*(z^~(x&(~y&z)))+1*~(x|(~y|z))-3*~(~x|(y|z))-10*~(~x|(~y|z))-3*(~x&(~y&z))-14*(~x&(y&z)),-4*~(x|(y|z))+10*(x&(~y&z))
-1*((x&z)^(x^(~y&z)))-2*~(x|z)-2*(~(x^y)&(x^z))+1*~(x|(y|z))+1*~(x|(~y|z))+3*~(~x|(~y|z))+2*(~x&(~y&z))-1*(~x&(y&z))+1*(x&(~y&z)),-1*~(x&(y|z))
-5*(x&z)+3*((y&z)^~(~x&(y^z)))+4*(~(x|~y)|(x^(y^z)))-3*~(x|(y|z))-4*~(x|(~y|z))-7*~(~x|(y|z))-3*~(~x|(~y|z))+2*(x&(~y&z))+1*(x&(y&z)),4*(~x&(y&z))+4*(~x&(~y&z))
3*(x|~z)-11*((x&~y)|~(x^(y^z)))-2*(~z|(x^y))+13*~(x|(y|z))+2*~(x|(~y|z))+10*~(~x|(y|z))+13*~(~x|(~y|z))+3*(~x&(~y&z))+13*(x&(~y&z)),3*(~(x^y)|~(x^z))-13*(~x&(y&z))
-1*(y^~(x&~z))+3*((x&~y)|(x^(y^z)))+1*~(x|(y|z))-2*~(x|(~y|z))-3*~(~x|(y|z))+1*~(~x|(~y|z))-2*(~x&(~y&z))-2*(x&(~y&z))-2*(x&(y&z)),-1*(~x&(y&z))+1*(y&~(x&~z))
1*(y^~(~x&(y^z)))+2*(~(x&y)&(x^(y^z)))+2*~(x|(y|z))-3*~(x|(~y|z))-3*~(~x|(y|z))-2*(~x&(~y&z))+3*(~x&(y&z))-1*(x&(~y&z))+3*(x&(y&z)),3*(~(x&~y)&~(y^z))
7*~(x^z)+7*((x|y)&(y^z))-6*((y&z)|(~x&(y|z)))-6*~(x|(~y|z))-7*~(~x|(~y|z))+8*(~x&(~y&z))+8*(~x&(y&z))-12*(x&(~y&z))+1*(x&(y&z)),2*(z|~(x|~y))+7*~(x|(y|z))
-6*(z^(~x&(~y|z)))-1*((x&z)|~(y|z))-11*(~x&(y^z))+3*~(x|(y|z))+11*~(x|(~y|z))-3*~(~x|(y|z))+11*(~x&(~y&z))+3*(x&(~y&z))+7*(x&(y&z)),-4*(y^~(~x&(~y&z)))
-2*~(x^z)-7*(z^~(x&(y&z)))+5*((y&z)|(x&(y|z)))+1*(z^~(x&~y))+8*~(x|(y|z))+8*~(x|(~y|z))+1*~(~x|(~y|z))-5*(~x&(y&z))-4*(x&(~y&z)),-7*~(~x|(y|z))-4*(x&(y&z))
-5*(x|(y|z))+1*(z&(x|y))-3*(~(x&y)&(y^z))+8*~(x|(~y|z))+5*~(~x|(y|z))+5*~(~x|(~y|z))+4*(~x&(y&z))+7*(x&(~y&z))+4*(x&(y&z)),-8*(~x&(~y&z))
-11*(y^(~x|(y&z)))-1*~(x&(y^z))-11*(~z&(x^y))-1*y+12*~(x|(y|z))+13*~(x|(~y|z))+12*~(~x|(y|z))+12*(~x&(~y&z))+2*(~x&(y&z)),-2*(x&(y&z))-12*~(~x|(~y|z))
-2*(z^(~x|(y&z)))+4*(y^~(x&(y^z)))+7*(z^~(x&~y))-9*~(x|(y|z))-5*~(x|(~y|z))-7*~(~x|(y|z))-11*~(~x|(~y|z))-3*(~x&(y&z))-8*(x&(~y&z)),4*(~x&(~y&z))-3*(y^~(~x&(~y|z)))
-2*(y^(~x|(~y&z)))+2*(~x|(y^z))-7*(y^~(x&z))+7*~(x|(y|z))+3*~(x|(~y|z))+7*~(~x|(y|z))+12*(~x&(~y&z))+3*(~x&(y&z))+14*(x&(y&z)),5*((y&z)|(~x&(y|z)))
-2*(y|~z)+1*(x^y)+2*~(x|(y|z))+3*~(~x|(y|z))+4*~(~x|(~y|z))+2*(~x&(~y&z))+3*(~x&(y&z))-1*(x&(~y&z))+4*(x&(y&z)),2*(z^~(~x|(y&z)))-1*~(x|(~y|z))
-7*~(~x&(y|z))-1*((y&~z)|~(~x|(~y&z)))+7*~(x|(y|z))+4*~(x|(~y|z))+11*~(~x|(y|z))+11*~(~x|(~y|z))-1*(~x&(~y&z))+9*(x&(~y&z))+7*(x&(y&z)),-1*(z&(x|~y))+3*((x&y)^~(x^(~y|z)))
7*~(~x|(~y&z))-7*(y^~(x|z))-11*(~x|(~y|z))-6*(x&(~y|z))+11*~(x|(~y|z))+10*~(~x|(y|z))+18*(~x&(y&z))+17*(x&(~y&z))+17*(x&(y&z)),-18*~(x|(y|z))-11*(~x&(~y&z))
-5*(y^~(x|~z))-1*(y&z)+5*~(x|(~y|z))-1*~(~x|(y|z))+4*~(~x|(~y|z))+5*(~x&(~y&z))+1*(~x&(y&z))-1*(x&(~y&z))+6*(x&(y&z)),-1*~(~x|(y&z))
-6*(y^(~x|(~y&z)))-1*(y&(x|z))+3*(y^(x&(y^z)))+5*~(x|(y|z))-4*~(x|(~y|z))-1*~(~x|(y|z))+6*~(~x|(~y|z))+5*(~x&(~y&z))-2*(~x&(y&z))+3*(x&(y&z)),-3*(x&(~y&z))-1*(~z|~(x^y))
-5*(~x&(y|z))+3*((x^y)&(x^z))+11*~(x|(y^z))-1*(x^(~y&z))-11*~(x|(y|z))-2*~(~x|(y|z))+1*~(~x|(~y|z))+6*(~x&(~y&z))-9*(~x&(y&z))+1*(x&(y&z)),-5*~(x|(~y|z))
5*(y^~(x|z))-2*~(x|(y&z))+2*(y&(x^z))+2*((x^y)&(x^z))-3*~(x|(y|z))+2*~(x|(~y|z))-2*~(~x|(y|z))-7*~(~x|(~y|z))+2*(~x&(~y&z))-5*(x&(y&z)),9*(~x&(y&z))
-3*(y^~(x&(~y|z)))+2*~(~x&(y|z))+4*((x&y)|~(x^(y^z)))+4*~(x|(y|z))+5*~(~x|(y|z))-6*~(~x|(~y|z))+3*(~x&(~y&z))+3*(~x&(y&z))+1*(x&(~y&z))+4*(x&(y&z)),7*((x&~y)|~(y^z))
-1*~(x^y)+7*(z^(x|(~y&z)))+5*(x&z)+1*~(x|(y|z))-7*~(~x|(y|z))-5*~(~x|(~y|z))+1*(~x&(~y&z))-7*(~x&(y&z))-5*(x&(~y&z))-3*(x&(y&z)),1*(x&y)
3*(x|~z)-2*(~x&(y|z))-1*((x|~y)&~(x^(y^z)))-1*~(x|(~y|z))-3*~(~x|(y|z))-2*~(~x|(~y|z))+2*(~x&(~y&z))+2*(~x&(y&z))-2*(x&(~y&z))-3*(x&(y&z)),2*~(x|(y|z))
5*(y^~(x&(y&z)))+3*~(x&(y|z))+2*(z^(x&y))-8*~(x|(y|z))-3*~(x|(~y|z))-2*~(~x|(~y|z))-10*(~x&(~y&z))-5*(~x&(y&z))-7*(x&(~y&z))-5*(x&(y&z)),8*~(~x|(y|z))
-6*~(x&(y^z))-1*~(x&(y&z))+2*(z^(~x|(~y|z)))+2*((x|y)&~(x^(y^z)))+5*~(x|(y|z))+5*~(~x|(y|z))-1*~(~x|(~y|z))+7*(~x&(~y&z))+5*(~x&(y&z))-1*(x&(~y&z)),-5*~(x|(~y|z))-6*(x&(y&z))
3*(x|~z)+4*z+7*((x&z)^(x^(~y&z)))-3*~(x|(y|z))-3*~(x|(~y|z))-10*~(~x|(y|z))-11*(~x&(~y&z))-4*(~x&(y&z))-14*(x&(~y&z))-7*(x&(y&z)),10*~(~x|(~y|z))
-7*~(x&~y)-2*(z&(x^y))+7*(y^~(~x&(y|z)))+2*(z^~(x&~y))-2*~(x|(y|z))-2*~(x|(~y|z))+5*~(~x|(~y|z))+7*(~x&(~y&z))+2*(~x&(y&z))+7*(x&(y&z)),7*~(~x|(y|z))+7*(x&(~y&z))
1*y+1*(y^(~x|(~y|z)))-6*(~(x|y)|(y^z))+7*(z^(~x|(y|z)))-2*~(x|(y|z))-2*~(x|(~y|z))-1*~(~x|(y|z))-3*~(~x|(~y|z))+5*(~x&(~y&z))+5*(x&(~y&z)),1*(x&(y&z))+1*(~x&(y&z))
-2*(z^~(x&(~y|z)))-2*(~z|(x^y))+3*((y&~z)|~(x|(~y&z)))+1*~(x|(y|z))+1*~(x|(~y|z))-1*~(~x|(y|z))+1*~(~x|(~y|z))-4*(~x&(y&z))+4*(x&(~y&z))-1*(x&(y&z)),-3*((x|y)&~(y^z))
4*(x^(y^z))+3*(~(x&~y)&(y^z))+5*(x|(y|z))-11*(z^(x|~y))+11*~(x|(y|z))-12*~(x|(~y|z))+2*~(~x|(y|z))+3*~(~x|(~y|z))+6*(~x&(y&z))-5*(x&(~y&z)),12*(~x&(~y&z))+9*(x&(y&z))
-1*(z^(x|~y))+2*(z^~(x&(~y|z)))+5*(z^(x&(~y|z)))+6*~(x|(y|z))+5*~(x|(~y|z))+3*~(~x|(y|z))-1*~(~x|(~y|z))-4*(~x&(y&z))+5*(x&(~y&z))-2*(x&(y&z)),-2*(~x&(~y&z))+7*(y^(x|(~y|z)))
-2*(y^~(x|(y&z)))-2*(z^~(~x|(~y&z)))+2*~(x|(y|z))-1*~(x|(~y|z))+2*~(~x|(y|z))+4*~(~x|(~y|z))+4*(~x&(~y&z))+5*(~x&(y&z))+1*(x&(~y&z))+2*(x&(y&z)),1*(z&~(x&~y))-1*(z^~(x|~y))
11*(y&(x^z))+4*(~(x&y)&(x^(y^z)))-6*(y^~(~x|(~y&z)))+5*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))-6*~(~x|(~y|z))-4*(~x&(~y&z))-5*(~x&(y&z))+5*(x&(y&z)),5*(y^~(x|(~y&z)))
-1*(y^~(x&(~y|z)))-1*~(x^z)-3*(y|z)+2*(y^(x&(y^z)))+2*~(x|(y|z))+3*~(~x|(~y|z))+4*(~x&(~y&z))+1*(~x&(y&z))+2*(x&(~y&z))+3*(x&(y&z)),-2*~(x|(~y|z))
7*(y^~(~x|(y&z)))-6*(~(x|~y)|~(x^(y^z)))-2*((x|~y)&(y^z))+11*(z^~(x&y))-5*~(x|(y|z))-18*~(~x|(y|z))+8*~(~x|(~y|z))-1*(~x&(y&z))+1*(x&(~y&z))-18*(x&(y&z)),-2*(~x&(~y&z))+12*~(x|(~y|z))
3*((x&~y)|(x^(y^z)))-6*~(~x|(y&z))-2*(z^~(~x|(y&z)))-7*((x|y)&(x^(y^z)))+4*~(x|(~y|z))+12*~(~x|(y|z))+8*~(~x|(~y|z))-1*(~x&(~y&z))+2*(~x&(y&z))+3*(x&(~y&z)),-6*(x&(y&z))
-3*(y^~(x&(y^z)))+3*(y^~(x&(y&z)))+7*((y&~z)^(x|(y^z)))-11*~(x|(y|z))-11*~(x|(~y|z))-18*~(~x|(y|z))-8*~(~x|(~y|z))-18*(~x&(~y&z))-21*(x&(~y&z))-10*(x&(y&z)),11*(~x&(y&z))-11*~(x&(y&z))
-5*(z^~(x&y))-2*(z^(~x|(~y|z)))+1*((x&z)^(y|z))+13*~(x|(y|z))+12*~(x|(~y|z))+7*~(~x|(y|z))+5*(~x&(~y&z))-1*(~x&(y&z))+6*(x&(~y&z))+5*(x&(y&z)),6*((x&z)^~(x^(y&z)))+1*~(~x|(~y|z))
-6*((x&~y)|(y^z))-1*~(x^(y^z))+3*~(x|(y|z))+10*~(x|(~y|z))+8*~(~x|(y|z))+9*~(~x|(~y|z))+8*(~x&(~y&z))+3*(~x&(y&z))+7*(x&(~y&z))+4*(x&(y&z)),2*(y&(x|~z))+2*~(x&(y^z))
3*(z^~(x&(~y&z)))+3*(~(x^y)|(x^z))+2*(y^~(x&~z))-1*~(y|~z)-8*~(x|(y|z))-3*~(x|(~y|z))-6*~(~x|(y|z))-8*~(~x|(~y|z))-3*(~x&(y&z))-3*(x&(y&z)),4*(~x&(~y&z))+4*(x&(~y&z))
1*(y^~(x&(~y|z)))-2*((x|~y)&(x^(y^z)))-3*(~y&~(x^z))+7*(~(x|y)|(y^z))-5*~(x|(y|z))-7*~(x|(~y|z))+2*~(~x|(y|z))-7*~(~x|(~y|z))-6*(~x&(~y&z))+1*(x&(y&z)),4*(x&(~y&z))
-1*~(x&(y&z))+2*(~(x^y)&~(x^z))+2*(~(x|y)|(x^(y^z)))-1*~(x|(~y|z))-1*~(~x|(y|z))+1*~(~x|(~y|z))-1*(~x&(~y&z))+1*(~x&(y&z))+1*(x&(~y&z))-4*(x&(y&z)),3*~(x|(y|z))
2*(~(x&y)&(y^z))-7*(y^(~x&(~y|z)))-5*((x&z)^~(x^(~y&z)))+12*~(x|(y|z))+8*~(x|(~y|z))+5*~(~x|(~y|z))+5*(~x&(~y&z))+3*(~x&(y&z))-4*(x&(~y&z))+10*(x&(y&z)),-2*(y|(x&z))
11*~(x|y)+1*(~(x|~y)|(y^z))-11*(x|(y^z))+10*~(x|(~y|z))+11*~(~x|(y|z))+10*~(~x|(~y|z))-1*(~x&(~y&z))-1*(~x&(y&z))+10*(x&(~y&z))+11*(x&(y&z)),11*~(x|(y|z))
-5*((y&~z)^(x|(y^z)))-3*(x&z)-5*(z^~(x&(~y&z)))-2*((x^y)&~(x^z))+7*~(x|(~y|z))+10*~(~x|(y|z))+5*~(~x|(~y|z))+5*(~x&(~y&z))+15*(x&(~y&z))+8*(x&(y&z)),-5*~(x|(y|z))
-11*(z^(x|~y))+5*(x^(y^z))+4*(y^~(~x|(~y&z)))+7*~(x|(y|z))-9*~(x|(~y|z))-2*~(~x|(y|z))-9*(~x&(~y&z))+7*(~x&(y&z))-4*(x&(~y&z))-5*(x&(y&z)),-4*~y-11*~(~x|(~y|z))
7*(y^(x|z))+4*~(x^(~y|z))+11*~(x&~x)-11*~(x|(y|z))-22*~(x|(~y|z))-11*~(~x|(~y|z))-18*(~x&(~y&z))-11*(~x&(y&z))-22*(x&(~y&z))-15*(x&(y&z)),22*~(~x|(y|z))
-2*((x|~y)&~(y^z))-5*(~(x&y)&~(x^(y^z)))+5*((x&y)^~(x^(y&z)))-11*(x&y)+2*~(x|(y|z))-5*~(x|(~y|z))+2*~(~x|(y|z))+6*~(~x|(~y|z))-5*(~x&(~y&z))+5*(~x&(y&z)),-13*(x&(y&z))-5*(x&(~y&z))
-2*(x|z)+11*(~(x&y)&(x^(y^z)))-6*(y|z)-5*~(x|(~y|z))-20*~(~x|(y|z))+8*~(~x|(~y|z))-14*(~x&(~y&z))+8*(~x&(y&z))+8*(x&(~y&z))-3*(x&(y&z)),-11*((x|~y)&(x^(y^z)))
-11*((y&~z)|~(~x|(~y&z)))-2*(y^~(x&~z))+5*(z^~(x|y))+2*(z^~(~x&(y|z)))-5*~(x|(y|z))+11*~(x|(~y|z))+9*~(~x|(y|z))+11*~(~x|(~y|z))-3*(x&(~y&z))+6*(x&(y&z)),7*(~x&(y&z))
-3*(y^(x|(y^z)))+7*((x|y)&(x^(y^z)))-2*(z^~(x&(~y|z)))+2*~(x|(y|z))-5*~(x|(~y|z))-4*~(~x|(y|z))+2*~(~x|(~y|z))+3*(~x&(~y&z))+3*(~x&(y&z))+5*(x&(~y&z)),5*(x&(y&z))
1*~(y&~z)-7*~(x&y)+1*(y^(~x|(~y&z)))+5*~(x|(y|z))+7*~(x|(~y|z))+6*~(~x|(y|z))-1*~(~x|(~y|z))+5*(~x&(~y&z))+6*(~x&(y&z))-2*(x&(y&z)),-5*(x&(~y&z))
-2*(y|~z)+1*(x^(y|z))+3*(x|(~y|z))+6*~(x|(y|z))-2*~(~x|(y|z))-1*~(~x|(~y|z))-4*(~x&(~y&z))-2*(~x&(y&z))+4*(x&(~y&z))+6*(x&(y&z)),-1*~(x|(~y|z))+7*(z^(~x&(~y|z)))
-3*(y|~(x|z))+3*(y^z)-6*(x|(~y&z))-1*(x|(~y|z))+4*~(x|(y|z))+7*~(~x|(y|z))+7*~(~x|(~y|z))+4*(~x&(~y&z))+4*(x&(~y&z))+10*(x&(y&z)),-4*(~x&(y&z))
7*((x&~y)|(y^z))+4*(~(x|~y)|~(x^(y^z)))-4*~(x|(y|z))-11*~(x|(~y|z))-7*~(~x|(y|z))-11*~(~x|(~y|z))-7*(~x&(~y&z))+3*(~x&(y&z))-11*(x&(~y&z))+7*(x&(y&z)),7*(y&z)
4*(y|~(x|~z))-2*(~(x|~y)|(y^z))-3*(y^(~x|(~y|z)))+3*~(x|(y|z))-2*~(x|(~y|z))+3*~(~x|(y|z))+1*~(~x|(~y|z))-2*(~x&(y&z))+5*(x&(~y&z))-4*(x&(y&z)),-1*(~x&(~y&z))
-2*(~(x&y)&~(y^z))-6*~(x^z)+8*~(x|(y|z))+6*~(x|(~y|z))+2*~(~x|(y|z))+6*~(~x|(~y|z))+6*(~x&(~y&z))+2*(~x&(y&z))+6*(x&(~y&z))+6*(x&(y&z)),6*(~(x^y)&(x^z))
7*(z|(x&~y))+1*(~(x^y)|~(x^z))-3*~(x|(y|z))-1*~(x|(~y|z))-9*~(~x|(y|z))-3*~(~x|(~y|z))-8*(~x&(~y&z))-7*(~x&(y&z))-10*(x&(~y&z))-8*(x&(y&z)),-2*((y&z)^~(~x&(y^z)))
1*((x&z)^(y|z))-1*(y^~(~x&(~y|z)))-2*~(x|(y|z))-14*~(x|(~y|z))-12*~(~x|(y|z))-3*~(~x|(~y|z))-14*(~x&(~y&z))-13*(~x&(y&z))-10*(x&(~y&z))-13*(x&(y&z)),-11*(z|(x^y))-2*~(x&(~y&z))
5*~(x|~y)+1*(y^~(~x&(~y&z)))+5*~(x&y)-1*((x&z)^~(x^(~y&z)))-5*~(x|(y|z))-9*~(x|(~y|z))-6*~(~x|(y|z))-5*(~x&(~y&z))-9*(~x&(y&z))+1*(x&(y&z)),6*(x&(~y&z))
2*(y^(~x|(~y&z)))+2*(~(x|y)|(x^(y^z)))+1*(~x|(y^z))+5*((x&z)^(y|z))-5*~(x|(y|z))-8*~(x|(~y|z))-2*~(~x|(y|z))-10*(~x&(~y&z))-6*(~x&(y&z))-4*(x&(y&z)),8*~(~x|(~y|z))+3*(x&(~y&z))
7*(y^~(x|(y^z)))+3*(x|(y|z))+11*((x&~y)|~(x^(y^z)))-2*(~(x&y)&~(y^z))-16*~(x|(y|z))-12*~(~x|(y|z))-3*(~x&(~y&z))-12*(~x&(y&z))-14*(x&(~y&z))-10*(x&(y&z)),10*~(x|(~y|z))+21*~(~x|(~y|z))
#4-variable linear MBA expression
-3*((~(y|~z)&~t)|((y&(x|z))&t))-3*(((z^~(~x&(y&z)))&~t)|(((x^y)|(x^z))&t))+3*((~(x|(~y&z))&~t)|(((y&~z)|~(~x|(~y&z)))&t))+3*~(~x|(y|(z|t)))+3*~(~x|(~y|(z|t)))+3*~(x|(y|(~z|t)))+3*~(~x|(y|(~z|t)))+6*(~x&(y&(z&t)))+3*(x&(~y&(z&t))),-3*(~x&(~y&(z&t)))-3*(x&(y&(~z&t)))
-1*((~(x^(~y&z))&~t)|((z^(~x|(y&z)))&t))+1*((((x&y)^(x^(y&z)))&~t)|(((x&~y)|~(y^z))&t))+1*(((z^~(x&y))&~t)|(((x|y)&~(x^(y^z)))&t))-2*~(~x|(y|(z|t)))-2*~(~x|(~y|(~z|t)))+1*(~x&(y&(~z&t)))-1*(x&(~y&(~z&t)))-2*(~x&(y&(z&t)))-1*(x&(y&(z&t))),1*(x&(y&(~z&t)))+1*(x&(~y&(z&t)))
1*(((y^~(~x&(y|z)))&~t)|((x&(y&z))&t))+5*(((z^~(x&(y|z)))&~t)|((y&(x^z))&t))-1*(((z|~(x|y))&~t)|((y&~(x^z))&t))-5*~(x|(y|(z|t)))-6*~(x|(~y|(z|t)))-5*~(~x|(y|(~z|t)))-4*~(~x|(~y|(~z|t)))+1*(~x&(y&(~z&t)))-5*(x&(y&(~z&t)))-5*(~x&(y&(z&t))),6*~(~x|(y|(z|t)))-1*~(x|(y|(~z|t)))
1*((((x|~y)&(x^(y^z)))&~t)|((y&~(x&z))&t))+5*((~(~x|(~y&z))&~t)|((~(x&~y)&(x^(y^z)))&t))+1*(((y^(~x&(y|z)))&~t)|(((x&y)^(x^(~y|z)))&t))-2*~(x|(y|(~z|t)))-7*~(~x|(~y|(~z|t)))-1*(~x&(~y&(~z&t)))-6*(~x&(y&(~z&t)))-1*(x&(y&(~z&t)))-6*(~x&(~y&(z&t)))-2*(~x&(y&(z&t)))-6*(x&(y&(z&t))),6*~(~x|(y|(z|t)))+6*~(~x|(~y|(z|t)))
7*((~(x|(y^z))&~t)|((z^(x|(y|z)))&t))+3*((((y&~z)|~(x|(~y&z)))&~t)|(~(~x|(~y|z))&t))-3*((((x&~y)|~(x^(y^z)))&~t)|((~x&(y|z))&t))-7*~(x|(y|(z|t)))-3*~(x|(~y|(z|t)))+3*~(~x|(y|(z|t)))+3*~(~x|(y|(~z|t)))-4*(~x&(y&(~z&t)))-7*(x&(~y&(~z&t)))+3*(~x&(~y&(z&t)))+3*(~x&(y&(z&t))),7*~(x|(~y|(~z|t)))+10*(x&(y&(~z&t)))
-11*(((~x&(y|z))&~t)|(((y&z)^~(x&(y^z)))&t))+1*(((y&~(x&z))&~t)|((y&~(x^z))&t))+11*~(x|(~y|(z|t)))+1*~(~x|(y|(z|t)))+12*~(x|(y|(~z|t)))+11*~(x|(~y|(~z|t)))+1*~(~x|(y|(~z|t)))+11*(~x&(y&(~z&t)))+11*(x&(~y&(~z&t)))+11*(~x&(~y&(z&t)))+1*(x&(~y&(z&t))),1*((((x^y)|(x^z))&~t)|(~(x^z)&t))-12*(~x&(~y&(~z&t)))
2*((~y&~t)|((~(x^y)&(x^z))&t))-2*(((y^~(~x&(y^z)))&~t)|((y^~(~x&(y^z)))&t))+2*((((y&z)|(~x&(y|z)))&~t)|(((x^y)&(x^z))&t))-4*~(x|(y|(~z|t)))-2*~(x|(~y|(~z|t)))-2*~(~x|(~y|(~z|t)))+2*(~x&(~y&(~z&t)))+2*(~x&(y&(~z&t)))-2*(x&(y&(~z&t)))-2*(~x&(~y&(z&t)))+2*(x&(~y&(z&t))),2*(~x&(y&(z&t)))
2*((~(~x&(y&z))&~t)|((y^(x|z))&t))-2*((((x&z)^~(x^(y&z)))&~t)|((y^~(x|z))&t))+2*(((x&~y)&~t)|(((x&z)|(y&~z))&t))-2*~(~x|(~y|(z|t)))-2*~(~x|(~y|(~z|t)))+2*(~x&(~y&(~z&t)))-4*(~x&(y&(~z&t)))-2*(x&(~y&(~z&t)))-2*(~x&(~y&(z&t)))+2*(~x&(y&(z&t)))-4*(x&(~y&(z&t))),2*~(~x|(y|(~z|t)))+4*~(~x|(y|(z|t)))
2*(((z^(~x|(~y|z)))&~t)|(~(x|~z)&t))+1*((~(~x|(y&z))&~t)|((~x&(y|z))&t))-2*(((~z&~(x^y))&~t)|(((x&z)^~(y&~z))&t))-2*((((x&z)|(y&~z))&~t)|(~(x|(y&z))&t))-3*~(~x|(y|(z|t)))+1*~(~x|(y|(~z|t)))+2*~(~x|(~y|(~z|t)))+1*(~x&(y&(~z&t)))+2*(x&(~y&(~z&t)))+1*(~x&(~y&(z&t)))-1*(~x&(y&(z&t))),-4*(~x&(~y&(~z&t)))-3*~(~x|(~y|(z|t)))
